Store,Week,Weekly_Sales,Holiday_Flag
1,0,1643690.9,0
1,1,1641957.44,1
1,2,1611968.17,0
1,3,1409727.59,0
1,4,1554806.68,0
1,5,1439541.59,0
1,6,1472515.79,0
1,7,1404429.92,0
1,8,1594968.28,0
1,9,1545418.53,0
1,10,1466058.28,0
1,11,1391256.12,0
1,12,1425100.71,0
1,13,1603955.12,0
1,14,1494251.5,0
1,15,1399662.07,0
1,16,1432069.95,0
1,17,1615524.71,0
1,18,1542561.09,0
1,19,1503284.06,0
1,20,1422711.6,0
1,21,1492418.14,0
1,22,1546074.18,0
1,23,1448938.92,0
1,24,1385065.2,0
1,25,1371986.6,0
1,26,1605491.78,0
1,27,1508237.76,0
1,28,1513080.49,0
1,29,1449142.92,0
1,30,1540163.53,0
1,31,1507460.69,1
1,32,1430378.67,0
1,33,1351791.03,0
1,34,1453329.5,0
1,35,1508239.93,0
1,36,1459409.1,0
1,37,1345454,0
1,38,1384209.22,0
1,39,1551659.28,0
1,40,1494479.49,0
1,41,1483784.18,0
1,42,1955624.11,1
1,43,1548033.78,0
1,44,1682614.26,0
1,45,1891034.93,0
1,46,2387950.2,0
1,47,1367320.01,1
1,48,1444732.28,0
1,49,1391013.96,0
1,50,1327405.42,0
1,51,1316899.31,0
1,52,1606629.58,0
1,53,1649614.93,1
1,54,1686842.78,0
1,55,1456800.28,0
1,56,1636263.41,0
1,57,1553191.63,0
1,58,1576818.06,0
1,59,1541102.38,0
1,60,1495064.75,0
1,61,1614259.35,0
1,62,1559889,0
1,63,1564819.81,0
1,64,1455090.69,0
1,65,1629391.28,0
1,66,1604775.58,0
1,67,1428218.27,0
1,68,1466046.67,0
1,69,1635078.41,0
1,70,1588948.32,0
1,71,1532114.86,0
1,72,1438830.15,0
1,73,1488538.09,0
1,74,1534849.64,0
1,75,1455119.97,0
1,76,1396926.82,0
1,77,1352219.79,0
1,78,1624383.75,0
1,79,1525147.09,0
1,80,1530761.43,0
1,81,1464693.46,0
1,82,1550229.22,0
1,83,1540471.24,1
1,84,1514259.78,0
1,85,1380020.27,0
1,86,1394561.83,0
1,87,1630989.95,0
1,88,1493525.93,0
1,89,1502562.78,0
1,90,1445249.09,0
1,91,1697229.58,0
1,92,1594938.89,0
1,93,1539483.7,0
1,94,2033320.66,1
1,95,1584083.95,0
1,96,1799682.38,0
1,97,1881176.67,0
1,98,2270188.99,0
1,99,1497462.72,1
1,100,1550369.92,0
1,101,1459601.17,0
1,102,1394393.84,0
1,103,1319325.59,0
1,104,1636339.65,0
1,105,1802477.43,1
1,106,1819870,0
1,107,1539387.83,0
1,108,1688420.76,0
1,109,1675431.16,0
1,110,1677472.78,0
1,111,1511068.07,0
1,112,1649604.63,0
1,113,1899676.88,0
1,114,1621031.7,0
1,115,1521577.87,0
1,116,1468928.37,0
1,117,1684519.99,0
1,118,1611096.05,0
1,119,1595901.87,0
1,120,1555444.55,0
1,121,1624477.58,0
1,122,1697230.96,0
1,123,1630607,0
1,124,1527845.81,0
1,125,1540421.49,0
1,126,1769854.16,0
1,127,1527014.04,0
1,128,1497954.76,0
1,129,1439123.71,0
1,130,1631135.79,0
1,131,1592409.97,0
1,132,1597868.05,0
1,133,1494122.38,0
1,134,1582083.4,0
1,135,1661767.33,1
1,136,1517428.87,0
1,137,1506126.06,0
1,138,1437059.26,0
1,139,1670785.97,0
1,140,1573072.81,0
1,141,1508068.77,0
1,142,1493659.74,0
2,0,2136989.46,0
2,1,2137809.5,1
2,2,2124451.54,0
2,3,1865097.27,0
2,4,1991013.13,0
2,5,1990483.78,0
2,6,1946070.88,0
2,7,1750197.81,0
2,8,2066187.72,0
2,9,1954689.21,0
2,10,1874957.94,0
2,11,1821990.93,0
2,12,1802450.29,0
2,13,2042581.71,0
2,14,1880752.36,0
2,15,1896937.1,0
2,16,1957113.89,0
2,17,2102539.93,0
2,18,2025538.76,0
2,19,2001636.96,0
2,20,1939927.09,0
2,21,2003940.64,0
2,22,1880902.62,0
2,23,1845879.79,0
2,24,1781717.71,0
2,25,1804246.16,0
2,26,1991909.98,0
2,27,1895601.05,0
2,28,1964335.23,0
2,29,1863840.49,0
2,30,1904608.09,0
2,31,1839128.83,1
2,32,1793903.6,0
2,33,1724557.22,0
2,34,1827440.43,0
2,35,1849921.44,0
2,36,1794355.49,0
2,37,1737947.64,0
2,38,1802755.11,0
2,39,1939061.41,0
2,40,1916812.74,0
2,41,1956739.17,0
2,42,2658725.29,1
2,43,2015781.27,0
2,44,2378726.55,0
2,45,2609166.75,0
2,46,3436007.68,0
2,47,1750434.55,1
2,48,1758050.79,0
2,49,1744193.58,0
2,50,1751384.9,0
2,51,1695371.68,0
2,52,1929346.23,0
2,53,2168041.61,1
2,54,2080884.82,0
2,55,1833511.08,0
2,56,1981607.78,0
2,57,1879107.31,0
2,58,1902557.66,0
2,59,1766162.05,0
2,60,1800171.36,0
2,61,1847552.61,0
2,62,1856467.84,0
2,63,1886339.6,0
2,64,1745545.28,0
2,65,1837743.6,0
2,66,1838513.07,0
2,67,1688281.86,0
2,68,1797732.56,0
2,69,1933756.21,0
2,70,1929153.16,0
2,71,1953771.99,0
2,72,1790925.8,0
2,73,1866243,0
2,74,1853161.99,0
2,75,1785187.29,0
2,76,1743816.41,0
2,77,1680693.06,0
2,78,1876704.26,0
2,79,1812768.26,0
2,80,1844094.59,0
2,81,1821139.91,0
2,82,1809119.7,0
2,83,1748000.65,1
2,84,1691439.52,0
2,85,1669299.78,0
2,86,1650394.44,0
2,87,1837553.43,0
2,88,1743882.19,0
2,89,1834680.25,0
2,90,1769296.25,0
2,91,1959707.9,0
2,92,1920725.15,0
2,93,1902762.5,0
2,94,2614202.3,1
2,95,1954952,0
2,96,2290549.32,0
2,97,2432736.52,0
2,98,3224369.8,0
2,99,1874226.52,1
2,100,1799520.14,0
2,101,1744725.48,0
2,102,1711769.11,0
2,103,1660906.14,0
2,104,1935299.94,0
2,105,2103322.68,1
2,106,2196688.46,0
2,107,1861802.7,0
2,108,1952555.66,0
2,109,1937628.26,0
2,110,1976082.13,0
2,111,1790439.16,0
2,112,1857480.84,0
2,113,2129035.91,0
2,114,1935869.1,0
2,115,1847344.45,0
2,116,1764133.09,0
2,117,1923957.09,0
2,118,1917520.99,0
2,119,2000940.67,0
2,120,1912791.09,0
2,121,1910092.37,0
2,122,2010216.49,0
2,123,1962924.3,0
2,124,1887733.21,0
2,125,1881046.12,0
2,126,2041507.4,0
2,127,1830075.13,0
2,128,1819666.46,0
2,129,1757923.88,0
2,130,1946104.64,0
2,131,1866719.96,0
2,132,1928016.01,0
2,133,1876788.15,0
2,134,1947083.3,0
2,135,1898777.07,1
2,136,1814806.63,0
2,137,1829415.67,0
2,138,1746470.56,0
2,139,1998321.04,0
2,140,1900745.13,0
2,141,1847990.41,0
2,142,1834458.35,0
3,0,461622.22,0
3,1,420728.96,1
3,2,421642.19,0
3,3,407204.86,0
3,4,415202.04,0
3,5,384200.69,0
3,6,375328.59,0
3,7,359949.27,0
3,8,423294.4,0
3,9,415870.28,0
3,10,354993.26,0
3,11,339976.65,0
3,12,361248.39,0
3,13,399323.86,0
3,14,384357.94,0
3,15,343763.17,0
3,16,350089.23,0
3,17,396968.8,0
3,18,355017.09,0
3,19,364076.85,0
3,20,357346.48,0
3,21,381151.72,0
3,22,349214.18,0
3,23,352728.78,0
3,24,352864.49,0
3,25,347955.05,0
3,26,402635.76,0
3,27,339597.38,0
3,28,351728.21,0
3,29,362134.09,0
3,30,366473.97,0
3,31,352260.97,1
3,32,363064.64,0
3,33,355626.87,0
3,34,358784.1,0
3,35,395107.35,0
3,36,345584.39,0
3,37,348895.98,0
3,38,348591.74,0
3,39,423175.56,0
3,40,386635.03,0
3,41,372545.32,0
3,42,565567.84,1
3,43,476420.77,0
3,44,467642.03,0
3,45,498159.39,0
3,46,605990.41,0
3,47,382677.76,1
3,48,378241.34,0
3,49,381061.1,0
3,50,350876.7,0
3,51,364866.24,0
3,52,438516.53,0
3,53,430526.21,1
3,54,432782.1,0
3,55,397211.19,0
3,56,437084.51,0
3,57,404753.3,0
3,58,392109.51,0
3,59,380683.67,0
3,60,374556.08,0
3,61,384075.31,0
3,62,366250.69,0
3,63,391860.04,0
3,64,367405.4,0
3,65,413042.12,0
3,66,386312.68,0
3,67,364603.13,0
3,68,369350.6,0
3,69,394507.84,0
3,70,391638.75,0
3,71,403423.34,0
3,72,385520.71,0
3,73,368962.72,0
3,74,395146.24,0
3,75,373454.33,0
3,76,360617.37,0
3,77,345381.29,0
3,78,409981.25,0
3,79,380376.85,0
3,80,379716.91,0
3,81,366367.55,0
3,82,375988.69,0
3,83,377347.49,1
3,84,375629.51,0
3,85,365248.94,0
3,86,368477.93,0
3,87,403342.4,0
3,88,368282.57,0
3,89,394976.36,0
3,90,389540.62,0
3,91,459443.22,0
3,92,407764.25,0
3,93,398838.97,0
3,94,556925.19,1
3,95,472511.32,0
3,96,468772.8,0
3,97,510747.62,0
3,98,551221.21,0
3,99,410553.88,1
3,100,398178.21,0
3,101,367438.62,0
3,102,365818.61,0
3,103,349518.1,0
3,104,424960.66,0
3,105,473292.47,1
3,106,475591.08,0
3,107,418925.47,0
3,108,469752.56,0
3,109,445162.05,0
3,110,411775.8,0
3,111,413907.25,0
3,112,407488.84,0
3,113,503232.13,0
3,114,420789.74,0
3,115,434822.13,0
3,116,394616.11,0
3,117,439913.57,0
3,118,431985.36,0
3,119,418112.76,0
3,120,413701.29,0
3,121,432268.53,0
3,122,446336.8,0
3,123,442074.79,0
3,124,419497.95,0
3,125,422965.33,0
3,126,411206.5,0
3,127,416913.1,0
3,128,432424.85,0
3,129,389427.9,0
3,130,419990.29,0
3,131,391811.6,0
3,132,394918.83,0
3,133,412449.67,0
3,134,408838.73,0
3,135,408229.73,1
3,136,407589.16,0
3,137,414392.09,0
3,138,389813.02,0
3,139,443557.65,0
3,140,410804.39,0
3,141,424513.08,0
3,142,405432.7,0
4,0,2135143.87,0
4,1,2188307.39,1
4,2,2049860.26,0
4,3,1925728.84,0
4,4,1971057.44,0
4,5,1894324.09,0
4,6,1897429.36,0
4,7,1762539.3,0
4,8,1979247.12,0
4,9,1818452.72,0
4,10,1851519.69,0
4,11,1802677.9,0
4,12,1817273.28,0
4,13,2000626.14,0
4,14,1875597.28,0
4,15,1903752.6,0
4,16,1857533.7,0
4,17,1903290.58,0
4,18,1870619.23,0
4,19,1929736.35,0
4,20,1846651.95,0
4,21,1881337.21,0
4,22,1812208.22,0
4,23,1898427.66,0
4,24,1848426.78,0
4,25,1796637.61,0
4,26,1907638.58,0
4,27,2007050.75,0
4,28,1997181.09,0
4,29,1848403.92,0
4,30,1935857.58,0
4,31,1865820.81,1
4,32,1899959.61,0
4,33,1810684.68,0
4,34,1842821.02,0
4,35,1951494.85,0
4,36,1867345.09,0
4,37,1927610.06,0
4,38,1933333,0
4,39,2013115.79,0
4,40,1999794.26,0
4,41,2097809.4,0
4,42,2789469.45,1
4,43,2102530.17,0
4,44,2302504.86,0
4,45,2740057.14,0
4,46,3526713.39,0
4,47,1794868.74,1
4,48,1862476.27,0
4,49,1865502.46,0
4,50,1886393.94,0
4,51,1814240.85,0
4,52,2119086.04,0
4,53,2187847.29,1
4,54,2316495.56,0
4,55,2078094.69,0
4,56,2103455.75,0
4,57,2039818.41,0
4,58,2116475.38,0
4,59,1944164.32,0
4,60,1900246.47,0
4,61,2074953.46,0
4,62,1960587.76,0
4,63,2220600.76,0
4,64,1878167.44,0
4,65,2063682.76,0
4,66,2002362.37,0
4,67,2015563.48,0
4,68,1986597.95,0
4,69,2065377.15,0
4,70,2073951.38,0
4,71,2141210.62,0
4,72,2008344.92,0
4,73,2051533.53,0
4,74,2066541.86,0
4,75,2049046.95,0
4,76,2036231.39,0
4,77,1989674.07,0
4,78,2160057.39,0
4,79,2105668.74,0
4,80,2232892.1,0
4,81,1988490.21,0
4,82,2078420.31,0
4,83,2093139.01,1
4,84,2075577.33,0
4,85,2031406.41,0
4,86,1929486.63,0
4,87,2166737.65,0
4,88,2074548.85,0
4,89,2207742.13,0
4,90,2151659.59,0
4,91,2281217.31,0
4,92,2203028.96,0
4,93,2243946.59,0
4,94,3004702.33,1
4,95,2180999.26,0
4,96,2508955.24,0
4,97,2771397.17,0
4,98,3676388.98,0
4,99,2007105.86,1
4,100,2047766.07,0
4,101,1941676.61,0
4,102,2005097.76,0
4,103,1928720.51,0
4,104,2173373.91,0
4,105,2374660.64,1
4,106,2427640.17,0
4,107,2226662.17,0
4,108,2206319.9,0
4,109,2202450.81,0
4,110,2214967.44,0
4,111,2091592.54,0
4,112,2089381.77,0
4,113,2470206.13,0
4,114,2105301.39,0
4,115,2144336.89,0
4,116,2064065.66,0
4,117,2196968.33,0
4,118,2127661.17,0
4,119,2207214.81,0
4,120,2154137.67,0
4,121,2179360.94,0
4,122,2245257.18,0
4,123,2234190.93,0
4,124,2197299.65,0
4,125,2128362.92,0
4,126,2224499.28,0
4,127,2100252.61,0
4,128,2175563.69,0
4,129,2048613.65,0
4,130,2174514.13,0
4,131,2193367.69,0
4,132,2283540.3,0
4,133,2125241.68,0
4,134,2081181.35,0
4,135,2125104.72,1
4,136,2117854.6,0
4,137,2119438.53,0
4,138,2027620.23,0
4,139,2209835.43,0
4,140,2133026.07,0
4,141,2097266.85,0
4,142,2149594.46,0
5,0,317173.1,0
5,1,311825.7,1
5,2,303447.57,0
5,3,270281.63,0
5,4,288855.71,0
5,5,297293.59,0
5,6,281706.41,0
5,7,273282.97,0
5,8,331406,0
5,9,328020.49,0
5,10,306858.69,0
5,11,288839.73,0
5,12,298697.84,0
5,13,333522.6,0
5,14,296673.77,0
5,15,301615.49,0
5,16,310013.11,0
5,17,337825.89,0
5,18,296641.91,0
5,19,313795.6,0
5,20,295257.3,0
5,21,305993.27,0
5,22,291808.87,0
5,23,280701.7,0
5,24,274742.63,0
5,25,268929.03,0
5,26,303043.02,0
5,27,286477.35,0
